State_yyyy-yy,Domestic,Commercial,Industrial (Low & Med. Voltage),Industrial (High Voltage),Public Lighting,Traction,Agriculture,Public Water Works & Sewage Pumping,Miscellaneous,Total Energy Sold(GWH)
Meghalaya-2020-21,500.0083384,81.58009904,4.553104995,666.3629751,0.55,0,0.142179,38.93772538,84.04234387,1376.176766
Manipur-2020-21,429.03,75.82,18.9,11.72,5.13,0,7.08,21.07,82.55,651.3
Arunachal Pradesh-2020-21,188.8615476,53.714572,1.313037,126.1976884,10.3222,0,0.772494,9.319374,14.60860034,405.1095134
A & N Islands-2020-21,148.06013,49.21062,9.164736,0,6.488527,0,1.112689,0,31.089853,245.126555
Sikkim-2020-21,115.38,30,2.2,242.58,0.3,0,0,0,24.31,414.77
West Bengal $-2020-21,17536.05835,5455.581978,2142.086929,19332.72825,706.335692,1344.230678,1332.23,1033.234,3256.612981,52139.09886
Odisha-2020-21,8420.207874,2157.672313,405.457868,59113.99773,240.370377,1330.3,644.6584073,329.468631,1056.103018,73698.23622
Jharkhand $-2020-21,6475.167434,1033.019136,309.914355,18130.04799,87.35860414,825.93692,203.6005325,0,608.17,27673.21497
Bihar-2020-21,15045.49165,2396.139653,807.9646026,3268.418907,83.9374717,1056.1,1149.295635,216.2187695,590.6369909,24614.20368
Lakshadweep-2020-21,40.347579,11.471602,0.371144,0,0.817116,0,0,0,0.094223,53.101664
Puducherry-2020-21,842.43,189.33,164.94,1432.411259,23.23,0,68.57,0,14.5,2735.411259
Tamil Nadu-2020-21,32721.9,8976.934391,9332.125717,31073.29204,1291.89,564.5,13974.67613,1291.89,2926.064575,102153.2729
Kerala-2020-21,12765.35023,4267.623165,1144.987362,3841.133328,379.7466993,168.694773,412.0184,0.251,534.2925452,23514.09751
Chandigarh-2020-21,695.0048,334.309,120.3378,98.39386296,12.14,0,1.366,53.785,38.266,1353.602463
